id,number,base_offset,host_id,material,width,height
wn-13,109,0.825,w-706,Glass,1.27,1.524
wn-14,110,0.825,w-706,Glass,1.27,1.524
wn-15,114,0.826,w-706,Glass,1.27,1.524
wn-16,116,0.825,w-706,Glass,1.27,1.524
wn-17,117,0.825,w-706,Glass,1.27,1.524
wn-18,118,0.825,w-706,Glass,1.27,1.524
wn-30,147,0.825,w-39,Glass,1.27,1.524
wn-41,184,1.092,w-338,Glass,0.991,1.93
wn-42,185,1.092,w-338,Glass,0.991,1.93
wn-45,169,1.092,w-344,Glass,0.991,1.93
wn-46,170,1.092,w-344,Glass,0.991,1.93
wn-49,176,1.092,w-350,Glass,0.991,1.93
wn-50,177,1.092,w-350,Glass,0.991,1.93
wn-53,180,0.527,w-356,Glass,1.257,2.476
wn-54,181,0.521,w-356,Glass,1.257,2.476
wn-61,121,0.648,w-600,,1.092,2.438
wn-62,123,0.648,w-600,,1.092,2.438
wn-63,124,0.648,w-600,,1.092,2.438
wn-64,128,0.648,w-600,,1.092,2.438
wn-82,188,0.527,w-356,Glass,1.257,2.476
wn-83,189,0.527,w-356,Glass,1.257,2.476
wn-84,190,0.527,w-356,Glass,1.257,2.476
wn-85,191,0.527,w-356,Glass,1.257,2.476
wn-92,204,0.527,w-662,Glass,1.257,2.476
wn-93,205,0.527,w-662,Glass,1.257,2.476
wn-94,206,0.527,w-662,Glass,1.257,2.476
wn-95,207,0.527,w-662,Glass,1.867,2.476
wn-101,217,2.438,w-653,,0.61,0.66
wn-102,218,2.438,w-649,,0.61,0.66
wn-103,220,2.464,w-693,Birch,0.559,0.61
wn-104,225,2.464,w-694,Birch,0.559,0.61
wn-105,192,0.825,w-39,Glass,1.27,1.524
wn-106,90,0.825,w-706,Glass,1.27,1.524
