id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,material
e37453ab-55ac-464e-96ef-b2d748a679fc-00094299,CB24x24,,,,,0,0.5175690294,-30.5181,5.5499,-2.413,-27.6606,6.1595,-1.8034,-30.5181,5.8547,-27.6606,5.8547,2.8575,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-0009429b,CB24x24,,,,,0,1.238862038,-21.336,5.5499,-2.413,-15.0876,6.1595,-1.8034,-21.336,5.8547,-15.0876,5.8547,6.2484,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-0009429d,CB24x24,,,,,0,1.211331771,1.2954,5.5499,-1.6637,7.2898,6.1595,-1.0541,1.2954,5.8547,7.2898,5.8547,5.9944,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-0009429f,CB24x24,,,,,0,1.013113845,7.2898,5.5499,-1.6637,12.573,6.1595,-1.0541,7.2898,5.8547,12.573,5.8547,5.2832,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942a1,CB24x24,,,,,0,1.426289033,12.573,5.5499,-0.6096,19.76485041,6.1595,6.158806798E-15,12.573,5.8547,19.76485041,5.8547,7.191850412,0,0,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942a3,CB24x24,,,,,0,1.17003637,-33.6804,-2.0701,-2.413,-27.6606,-1.4605,-1.8034,-33.6804,-1.7653,-27.6606,-1.7653,6.0198,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942a5,CB24x30,,,,,0,1.931051622,-27.9781,-8.6106,-2.5654,-27.3685,-1.9177,-1.8034,-27.6733,-8.6106,-27.6733,-1.9177,6.6929,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942a9,CB24x30,,,,,0,2.170958239,-27.9781,-1.7653,-2.5654,-27.3685,6.0071,-1.8034,-27.6733,-1.7653,-27.6733,6.0071,7.7724,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942ab,CB24x30,,,,,0,0.4719474432,-27.9781,6.0071,-2.5654,-27.3685,7.8105,-1.8034,-27.6733,6.0071,-27.6733,7.8105,1.8034,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942ad,CB24x30,,,,,0,1.931051622,-21.6408,-8.6106,-2.5654,-21.0312,-1.9177,-1.8034,-21.336,-8.6106,-21.336,-1.9177,6.6929,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942af,CB24x30,,,,,0,2.170958239,-21.6408,-1.7653,-2.5654,-21.0312,5.8547,-1.8034,-21.336,-1.7653,-21.336,5.8547,7.62,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b0,CB18x24,,,,,0,1.017931642,-21.5646,6.0071,-2.413,-21.1074,12.7254,-1.8034,-21.336,6.0071,-21.336,12.7254,6.7183,-1.8034,-1.8034,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b1,CB24x39,,,,,0,2.848301142,-15.3162,-8.6106,-2.0574,-14.7066,-2.0701,-1.0541,-15.0114,-8.6106,-15.0114,-2.0701,6.5405,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b3,CB24x39,,,,,0,3.202163402,-15.3162,-1.4605,-2.0574,-14.7066,5.8547,-1.0541,-15.0114,-1.4605,-15.0114,5.8547,7.3152,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b5,CB24x30,,,,,0,1.931051622,-6.477,-8.6106,-1.8161,-5.8674,-1.7653,-1.0541,-6.1722,-8.6106,-6.1722,-1.7653,6.8453,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b7,CB24x30,,,,,0,2.170958239,-6.477,-1.7653,-1.8161,-5.8674,5.8547,-1.0541,-6.1722,-1.7653,-6.1722,5.8547,7.62,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b8,CB24x30,,,,,0,1.938917412,-6.477,5.8547,-1.8161,-5.8674,12.7254,-1.0541,-6.1722,5.8547,-6.1722,12.7254,6.8707,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942b9,CB24x30,,,,,0,1.958581889,0.7874,-9.3091,-1.8161,1.397,-1.7653,-1.0541,1.0922,-9.3091,1.0922,-1.7653,7.5438,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942bc,CB24x30,,,,,0,2.170958239,0.7874,-1.7653,-1.8161,1.397,5.7023,-1.0541,1.0922,-1.7653,1.0922,5.7023,7.4676,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942bd,CB24x30,,,,,0,1.207398876,0.7874,8.3947,-1.8161,1.397,12.7254,-1.0541,1.0922,8.3947,1.0922,12.7254,4.3307,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942be,CB24x30,,,,,0,1.958581889,6.985,-9.3091,-1.8161,7.5946,-1.809139561,-1.0541,7.2898,-9.3091,7.2898,-1.809139561,7.499960439,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
e37453ab-55ac-464e-96ef-b2d748a679fc-000942c0,CB24x30,,,,,0,2.170958239,6.985,-1.7653,-1.8161,7.5946,5.8547,-1.0541,7.2898,-1.7653,7.2898,5.8547,7.62,-1.0541,-1.0541,,,,"Concrete, Cast-in-Place gray"
