id,number,start_x,start_y,end_x,end_y
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc71,1,-33.6804,-9.433194238,-33.6804,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc72,E,-35.13124534,12.6365,23.70422548,12.6365
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc73,D,-35.13124534,5.8547,23.70422548,5.8547
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc74,C,-35.13124534,0.762,23.70422548,0.762
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc75,A,-35.13124534,-8.3947,23.70422548,-8.3947
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc76,B,-35.13124534,-3.8735,23.70422548,-3.8735
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc77,4,-15.0114,-9.433194238,-15.0114,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc78,5,-6.1722,-9.433194238,-6.1722,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc79,6,1.0922,-9.433194238,1.0922,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc7a,8,12.573,-9.433194238,12.573,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc7b,9,21.7519207,-9.433194238,18.58350033,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc7c,7,7.2898,-9.433194238,7.2898,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc7d,2,-27.6733,-9.433194238,-27.6733,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc7e,3,-21.336,-9.433194238,-21.336,14.63334776
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc80,B.1,-35.13124534,-1.7653,23.70422548,-1.7653
