id,number,base_offset,host_id,material,width,height,operation
d-15,107B,0,w-49,Aluminum,0,0,
d-16,105C,0,w-21,Aluminum,0,0,
d-17,107C,0,w-21,Aluminum,0,0,
d-18,108E,0,w-19,Aluminum,0,0,
d-63,108B,0,w-63,Aluminum,0,0,
d-109,107A,0,w-21,Aluminum Clad (Black),2.438,2.54,
d-110,105B,0,w-571,Aluminum,0,0,
d-111,105A,0,w-571,Aluminum,0,0,
d-112,108A,0,w-63,Aluminum,0,0,
d-115,106F,0,w-580,Aluminum,0,0,
d-116,106E,0,w-580,Aluminum,0,0,
d-120,105D,1.054,,Glass,1.829,2.388,
d-121,218,1.054,,,0,0,
d-122,106C,0.305,w-650,Glass,0,0,
d-123,106D,0.305,w-650,Glass,0,0,
d-124,106B,0.305,w-650,Glass,0,0,
d-125,106A,0,w-683,Aluminum,0,0,
